Brand,Store Number,Name,Ownership Type,Facility ID,Features - Products,Features - Service,Features - Stations,Food Region,Venue Type,Phone Number,Location,Street Address,Street Line 1,Street Line 2,City,State,Zip,Country,Coordinates,Latitude,Longitude,Insert Date
Starbucks,15952,UNC Pembroke,Licensed,65801,,,,0,Unknown,910-775-4197,"1 University Rd
Pembroke, NC 28372-8699
(34.686154, -79.204911)",1 University Rd,1 University Rd,,Pembroke,NC,28372-8699,US,"(34.686154, -79.204911)",34.686154,-79.204911,06/22/2012 06:32:08 PM
Starbucks,13864,Fairview Rd & Hunters Wood Dr,Company Owned,7016,Oven-warmed Food,Starbucks Card Mobile,Drive-Through,9999,Unknown,864-228-8521,"657 Fairview Rd
Simpsonville, SC 29680-6706
(34.705745465821, -82.2556)",657 Fairview Rd,657 Fairview Rd,,Simpsonville,SC,29680-6706,US,"(34.705745465821, -82.2556)",34.705745465821,-82.2556,06/22/2012 06:32:24 PM
Starbucks,76142,Target Simpsonville T-1870,Licensed,9151,,Starbucks Card Mobile,,9999,Unknown,864-963-7251,"694 Fairview Rd
Simpsonville, SC 29680-6708
(34.705912, -82.259793)",694 Fairview Rd,694 Fairview Rd,,Simpsonville,SC,29680-6708,US,"(34.705912, -82.259793)",34.705912,-82.259793,06/22/2012 06:32:24 PM
Starbucks,10468,Florence Mall Outparcel,Company Owned,17803,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,843-292-0729,"1933 W Palmetto Street
Florence, SC 29501-3916
(34.189365, -79.805553)",1933 W Palmetto Street,1933 W Palmetto Street,,Florence,SC,29501-3916,US,"(34.189365, -79.805553)",34.189365,-79.805553,06/22/2012 06:32:28 PM
Starbucks,10756,North Myrtle Beach,Company Owned,10088,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,843-280-4356,"549 Hwy 17 N
North Myrtle Beach, SC 29582-2903
(33.833358, -78.674373)",549 Hwy 17 N,549 Hwy 17 N,,North Myrtle Beach,SC,29582-2903,US,"(33.833358, -78.674373)",33.833358,-78.674373,06/22/2012 06:32:36 PM
Starbucks,8478,Independence Mall,Company Owned,16168,,Starbucks Card Mobile,,9999,Unknown,910-784-9555,"3500 Oleander Dr, #1072
Wilmington, NC 28403-0846
(34.213431935944, -77.905519284294)","3500 Oleander Dr, #1072",3500 Oleander Dr,#1072,Wilmington,NC,28403-0846,US,"(34.213431935944, -77.905519284294)",34.213431935944,-77.905519284294,06/22/2012 06:32:37 PM
Starbucks,8518,College Street,Company Owned,16396,"Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,910-798-9677,"317-1 S. College Road, 317
Wilmington, NC 28403-1601
(34.236162, -77.872381)","317-1 S. College Road, 317",317-1 S. College Road,317,Wilmington,NC,28403-1601,US,"(34.236162, -77.872381)",34.236162,-77.872381,06/22/2012 06:32:37 PM
Starbucks,5061,Harris Teeter - Wilmington #441,Licensed,10920,,,,9999,Unknown,910-791-1392,"2800 S College Rd
Wilmington, NC 28412-6827
(34.198700940495, -77.892025595903)",2800 S College Rd,2800 S College Rd,,Wilmington,NC,28412-6827,US,"(34.198700940495, -77.892025595903)",34.198700940495,-77.892025595903,06/22/2012 06:32:37 PM
Starbucks,8544,Mayfaire Towne Centre,Company Owned,14232,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,910-256-2097,"1005 International Drive
Wilmington, NC 28405-4176
(34.242121, -77.828527)",1005 International Drive,1005 International Drive,,Wilmington,NC,28405-4176,US,"(34.242121, -77.828527)",34.242121,-77.828527,06/22/2012 06:32:37 PM
Starbucks,8487,Landfall,Company Owned,8908,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,910-509-0332,"1705 Eastwood Rd, Ste 5E2
Wilmington, NC 28403-3640
(34.230532, -77.834232)","1705 Eastwood Rd, Ste 5E2",1705 Eastwood Rd,Ste 5E2,Wilmington,NC,28403-3640,US,"(34.230532, -77.834232)",34.230532,-77.834232,06/22/2012 06:32:37 PM
